Stage Name,Full Name,Korean Name,K Stage Name,Date of Birth,Group,Debut,Company,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Debut_Year,is_foreign
2Soul,Kim Younghoon,김영훈,이솔,10/09/1997,7 O'clock,26/08/2014,Jungle,South Korea,,172.0,55.0,,,,M,2014.0,False
A.M,Seong Hyunwoo,성현우,에이엠,31/12/1996,Limitless,9/07/2019,ONO,South Korea,,181.0,62.0,,,,M,2019.0,False
Ace,Jang Wooyoung,장우영,에이스,28/08/1992,VAV,31/10/2015,A team,South Korea,,177.0,63.0,,,,M,2015.0,False
Aeji,Kwon Aeji,권애지,애지,25/10/1999,Hash Tag,11/10/2017,LUK,South Korea,,163.0,,Daegu,,,F,2017.0,False
AhIn,Lee Ahin,이아인,아인,27/09/1999,MOMOLAND,9/11/2016,Double Kick,South Korea,,160.0,44.0,Wonju,,,F,2016.0,False
Ahra,Go Ahra,고아라,아라,21/02/2001,Favorite,5/07/2017,Astory,South Korea,,,,Yeosu,,,F,2017.0,False
Ahyoon,Choi Subin,최수빈,아윤,23/10/2004,BOTOPASS,26/08/2020,WKS ENE,South Korea,,,,,,,F,2020.0,False
Ahyoon,Shin Ahyoon,신아윤,아윤,24/09/2003,Queenz Eye,24/10/2022,Big Mountain,South Korea,,,,Seoul,,,F,2022.0,False
Ahyoung,Cho Jayoung,조자영,아영,26/05/1991,Dal Shabet,3/01/2011,Happy Face,South Korea,,,,Seoul,,,F,2011.0,False
Ahyung,Kang Ahyoung,강아형,아형,27/08/1996,P.O.P,26/07/2017,DWM,South Korea,,,,Pohang,,,F,2017.0,False
Aisha,Heo Yoorim,허유림,아샤,21/07/2000,Everglow,18/03/2019,Yuehua,South Korea,,,,,,,F,2019.0,False
Aki,Jang Minju,장민주,아키,12/02/2001,MAJORS,9/03/2021,ANS,South Korea,,168.0,48.0,,,,F,2021.0,False
Alex,Alexander Schmidt Lee,알렉산더 슈미트 리,알렉스,6/10/2004,DRIPPIN,26/10/2020,Woollim,Germany,South Korea,180.0,,,,,M,2020.0,True
Alice,Song Joohee,송주희,앨리스,21/03/1990,Hello Venus,9/05/2012,Fantagio,South Korea,,166.0,47.0,Wonju,,,F,2012.0,False
Alice,Cheon Jaeyoung,천재영,앨리스,20/02/2002,TRACER,3/04/2022,Gleamedia,South Korea,,,,,,,F,2022.0,False
Allen,Allen Ma,앨런 마,앨런,26/04/1999,CRAVITY,14/04/2020,Starship,USA,South Korea,,,,,,M,2020.0,True
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,18/09/1992,f(x),5/09/2009,SM,USA,Taiwan,167.0,,Los Angeles,,,F,2009.0,True
A-min,Cho Minwoo,조민우,아민,22/05/2004,EPEX,8/06/2021,C9,South Korea,,175.0,54.0,Namyangju,,,M,2021.0,False
